2024-03-17T14:56:45+00:00: Starting --insert_events
Running --insert_events...
2024-03-17T14:56:48+00:00: Inserting events from CSV file: 2019-Nov.csv
2024-03-17T15:52:11+00:00: Inserted chunk of size 63172 into database.
2024-03-17T15:53:05+00:00: Inserted chunk of size 61209 into database.
2024-03-17T15:54:00+00:00: Inserted chunk of size 61244 into database.
2024-03-17T15:54:54+00:00: Inserted chunk of size 60855 into database.
2024-03-17T15:55:51+00:00: Inserted chunk of size 60529 into database.
2024-03-17T15:56:43+00:00: Inserted chunk of size 59695 into database.
2024-03-17T15:57:30+00:00: Inserted chunk of size 59503 into database.
2024-03-17T15:58:21+00:00: Inserted chunk of size 55689 into database.
2024-03-17T15:59:12+00:00: Inserted chunk of size 58536 into database.
2024-03-17T16:00:05+00:00: Inserted chunk of size 59815 into database.
2024-03-17T16:01:00+00:00: Inserted chunk of size 60039 into database.
2024-03-17T16:01:54+00:00: Inserted chunk of size 59539 into database.
2024-03-17T16:02:47+00:00: Inserted chunk of size 59563 into database.
2024-03-17T16:03:38+00:00: Inserted chunk of size 60282 into database.
2024-03-17T16:04:36+00:00: Inserted chunk of size 61108 into database.
2024-03-17T16:05:31+00:00: Inserted chunk of size 60555 into database.
2024-03-17T16:06:25+00:00: Inserted chunk of size 61238 into database.
2024-03-17T16:07:20+00:00: Inserted chunk of size 62035 into database.
2024-03-17T16:08:17+00:00: Inserted chunk of size 61543 into database.
2024-03-17T16:09:15+00:00: Inserted chunk of size 62264 into database.
2024-03-17T16:10:13+00:00: Inserted chunk of size 61404 into database.
2024-03-17T16:11:13+00:00: Inserted chunk of size 60983 into database.
2024-03-17T16:12:10+00:00: Inserted chunk of size 60365 into database.
2024-03-17T16:13:04+00:00: Inserted chunk of size 60887 into database.
2024-03-17T16:13:55+00:00: Inserted chunk of size 61760 into database.
2024-03-17T16:14:50+00:00: Inserted chunk of size 61048 into database.
2024-03-17T16:15:46+00:00: Inserted chunk of size 62032 into database.
2024-03-17T16:16:40+00:00: Inserted chunk of size 61544 into database.
2024-03-17T16:17:35+00:00: Inserted chunk of size 62386 into database.
2024-03-17T16:18:31+00:00: Inserted chunk of size 62396 into database.
2024-03-17T16:19:29+00:00: Inserted chunk of size 62211 into database.
2024-03-17T16:20:28+00:00: Inserted chunk of size 62739 into database.
2024-03-17T16:21:27+00:00: Inserted chunk of size 62314 into database.
2024-03-17T16:22:25+00:00: Inserted chunk of size 63090 into database.
2024-03-17T16:23:22+00:00: Inserted chunk of size 63334 into database.
2024-03-17T16:24:20+00:00: Inserted chunk of size 62808 into database.
2024-03-17T16:25:16+00:00: Inserted chunk of size 62931 into database.
2024-03-17T16:26:16+00:00: Inserted chunk of size 62443 into database.
2024-03-17T16:27:15+00:00: Inserted chunk of size 61480 into database.
2024-03-17T16:28:14+00:00: Inserted chunk of size 62156 into database.
2024-03-17T16:29:12+00:00: Inserted chunk of size 60876 into database.
2024-03-17T16:30:11+00:00: Inserted chunk of size 62069 into database.
2024-03-17T16:31:07+00:00: Inserted chunk of size 61629 into database.
2024-03-17T16:32:00+00:00: Inserted chunk of size 61951 into database.
2024-03-17T16:32:55+00:00: Inserted chunk of size 58467 into database.
2024-03-17T16:33:56+00:00: Inserted chunk of size 60947 into database.
2024-03-17T16:34:53+00:00: Inserted chunk of size 61790 into database.
2024-03-17T16:35:56+00:00: Inserted chunk of size 62515 into database.
2024-03-17T16:36:56+00:00: Inserted chunk of size 63447 into database.
2024-03-17T16:37:57+00:00: Inserted chunk of size 62587 into database.
2024-03-17T16:39:00+00:00: Inserted chunk of size 62439 into database.
2024-03-17T16:40:04+00:00: Inserted chunk of size 62945 into database.
2024-03-17T16:41:09+00:00: Inserted chunk of size 63366 into database.
2024-03-17T16:42:09+00:00: Inserted chunk of size 63389 into database.
2024-03-17T16:43:11+00:00: Inserted chunk of size 63285 into database.
2024-03-17T16:44:12+00:00: Inserted chunk of size 63161 into database.
2024-03-17T16:45:18+00:00: Inserted chunk of size 62601 into database.
2024-03-17T16:46:18+00:00: Inserted chunk of size 62287 into database.
2024-03-17T16:47:18+00:00: Inserted chunk of size 60888 into database.
2024-03-17T16:48:17+00:00: Inserted chunk of size 60814 into database.
2024-03-17T16:49:19+00:00: Inserted chunk of size 61044 into database.
2024-03-17T16:50:17+00:00: Inserted chunk of size 62900 into database.
2024-03-17T16:51:14+00:00: Inserted chunk of size 60356 into database.
2024-03-17T16:52:14+00:00: Inserted chunk of size 59650 into database.
2024-03-17T16:53:16+00:00: Inserted chunk of size 61360 into database.
2024-03-17T16:54:20+00:00: Inserted chunk of size 62824 into database.
2024-03-17T16:55:22+00:00: Inserted chunk of size 64258 into database.
2024-03-17T16:56:22+00:00: Inserted chunk of size 63209 into database.
2024-03-17T16:57:23+00:00: Inserted chunk of size 63193 into database.
2024-03-17T16:58:25+00:00: Inserted chunk of size 62926 into database.
2024-03-17T16:59:28+00:00: Inserted chunk of size 62395 into database.
2024-03-17T17:00:34+00:00: Inserted chunk of size 63123 into database.
2024-03-17T17:01:36+00:00: Inserted chunk of size 63702 into database.
2024-03-17T17:02:38+00:00: Inserted chunk of size 63249 into database.
2024-03-17T17:03:41+00:00: Inserted chunk of size 62757 into database.
2024-03-17T17:04:45+00:00: Inserted chunk of size 61754 into database.
2024-03-17T17:05:49+00:00: Inserted chunk of size 62468 into database.
2024-03-17T17:06:52+00:00: Inserted chunk of size 61500 into database.
2024-03-17T17:07:57+00:00: Inserted chunk of size 60724 into database.
2024-03-17T17:08:59+00:00: Inserted chunk of size 60391 into database.
2024-03-17T17:10:00+00:00: Inserted chunk of size 61165 into database.
2024-03-17T17:11:00+00:00: Inserted chunk of size 62425 into database.
2024-03-17T17:12:00+00:00: Inserted chunk of size 58322 into database.
2024-03-17T17:13:03+00:00: Inserted chunk of size 59448 into database.
2024-03-17T17:14:06+00:00: Inserted chunk of size 61527 into database.
2024-03-17T17:15:10+00:00: Inserted chunk of size 62239 into database.
2024-03-17T17:16:13+00:00: Inserted chunk of size 61299 into database.
2024-03-17T17:17:17+00:00: Inserted chunk of size 62159 into database.
2024-03-17T17:18:21+00:00: Inserted chunk of size 61878 into database.
2024-03-17T17:19:25+00:00: Inserted chunk of size 62104 into database.
2024-03-17T17:20:29+00:00: Inserted chunk of size 62034 into database.
2024-03-17T17:21:36+00:00: Inserted chunk of size 62775 into database.
2024-03-17T17:22:43+00:00: Inserted chunk of size 62706 into database.
2024-03-17T17:23:51+00:00: Inserted chunk of size 63251 into database.
2024-03-17T17:24:56+00:00: Inserted chunk of size 62252 into database.
2024-03-17T17:26:07+00:00: Inserted chunk of size 62017 into database.
2024-03-17T17:27:16+00:00: Inserted chunk of size 62588 into database.
2024-03-17T17:28:26+00:00: Inserted chunk of size 61978 into database.
2024-03-17T17:29:30+00:00: Inserted chunk of size 60698 into database.
2024-03-17T17:30:36+00:00: Inserted chunk of size 61406 into database.
2024-03-17T17:31:40+00:00: Inserted chunk of size 62350 into database.
2024-03-17T17:32:42+00:00: Inserted chunk of size 63231 into database.
2024-03-17T17:33:48+00:00: Inserted chunk of size 60935 into database.
2024-03-17T17:34:56+00:00: Inserted chunk of size 61581 into database.
2024-03-17T17:36:01+00:00: Inserted chunk of size 61788 into database.
2024-03-17T17:37:07+00:00: Inserted chunk of size 61679 into database.
2024-03-17T17:38:15+00:00: Inserted chunk of size 62511 into database.
2024-03-17T17:39:19+00:00: Inserted chunk of size 61593 into database.
2024-03-17T17:40:25+00:00: Inserted chunk of size 62325 into database.
2024-03-17T17:41:35+00:00: Inserted chunk of size 62285 into database.
2024-03-17T17:42:38+00:00: Inserted chunk of size 62099 into database.
2024-03-17T17:43:42+00:00: Inserted chunk of size 62326 into database.
2024-03-17T17:44:52+00:00: Inserted chunk of size 62952 into database.
