2024-03-17T14:50:11+00:00: Starting --insert_products
Running --insert_products...
2024-03-17T14:50:13+00:00: Inserting products from CSV file: 2019-Nov.csv
2024-03-17T14:51:18+00:00: Inserted chunk of size 98 into database.
2024-03-17T14:51:18+00:00: Inserted chunk of size 108 into database.
2024-03-17T14:51:19+00:00: Inserted chunk of size 85 into database.
2024-03-17T14:51:19+00:00: Inserted chunk of size 91 into database.
2024-03-17T14:51:20+00:00: Inserted chunk of size 69 into database.
2024-03-17T14:51:20+00:00: Inserted chunk of size 76 into database.
2024-03-17T14:51:21+00:00: Inserted chunk of size 76 into database.
2024-03-17T14:51:21+00:00: Inserted chunk of size 68 into database.
2024-03-17T14:51:22+00:00: Inserted chunk of size 42 into database.
2024-03-17T14:51:22+00:00: Inserted chunk of size 55 into database.
2024-03-17T14:51:23+00:00: Inserted chunk of size 72 into database.
2024-03-17T14:51:24+00:00: Inserted chunk of size 70 into database.
2024-03-17T14:51:24+00:00: Inserted chunk of size 106 into database.
2024-03-17T14:51:25+00:00: Inserted chunk of size 161 into database.
2024-03-17T14:51:25+00:00: Inserted chunk of size 122 into database.
2024-03-17T14:51:26+00:00: Inserted chunk of size 136 into database.
2024-03-17T14:51:26+00:00: Inserted chunk of size 107 into database.
2024-03-17T14:51:27+00:00: Inserted chunk of size 113 into database.
2024-03-17T14:51:27+00:00: Inserted chunk of size 108 into database.
2024-03-17T14:51:28+00:00: Inserted chunk of size 144 into database.
2024-03-17T14:51:29+00:00: Inserted chunk of size 107 into database.
2024-03-17T14:51:29+00:00: Inserted chunk of size 121 into database.
2024-03-17T14:51:30+00:00: Inserted chunk of size 85 into database.
2024-03-17T14:51:31+00:00: Inserted chunk of size 95 into database.
2024-03-17T14:51:31+00:00: Inserted chunk of size 93 into database.
2024-03-17T14:51:32+00:00: Inserted chunk of size 84 into database.
2024-03-17T14:51:32+00:00: Inserted chunk of size 69 into database.
2024-03-17T14:51:33+00:00: Inserted chunk of size 82 into database.
2024-03-17T14:51:34+00:00: Inserted chunk of size 72 into database.
2024-03-17T14:51:34+00:00: Inserted chunk of size 71 into database.
2024-03-17T14:51:35+00:00: Inserted chunk of size 88 into database.
2024-03-17T14:51:35+00:00: Inserted chunk of size 61 into database.
2024-03-17T14:51:36+00:00: Inserted chunk of size 68 into database.
